item_id,current_on_hand,safety_stock,reorder_point,last_updated
6782,966,1000,1001,03/01/2026 00:00:00
6784,97,250,250,03/01/2026 00:00:00
7001,0,1000,1000,03/01/2026 00:00:00
7102,281,500,501,03/01/2026 00:00:00
7103,0,1000,1000,03/01/2026 00:00:00
7352,21,500,500,03/01/2026 00:00:00
7681,574,1000,1001,03/01/2026 00:00:00
7698,56,1000,1000,03/01/2026 00:00:00
7703,947,1000,1001,03/01/2026 00:00:00
7710,1188,250,255,03/01/2026 00:00:00
7711,450,1000,1000,03/01/2026 00:00:00
7716,2497,1000,1002,03/01/2026 00:00:00
7726,0,1000,1000,03/01/2026 00:00:00
7728,0,1000,1000,03/01/2026 00:00:00
7731,552,500,501,03/01/2026 00:00:00
7740,425,1000,1000,03/01/2026 00:00:00
7745,0,1000,1000,03/01/2026 00:00:00
7746,0,500,500,03/01/2026 00:00:00
7751,0,1000,1000,03/01/2026 00:00:00
7755,0,1000,1000,03/01/2026 00:00:00
7756,0,1000,1000,03/01/2026 00:00:00
7757,1,1000,1000,03/01/2026 00:00:00
7758,2,1000,1000,03/01/2026 00:00:00
7759,0,1000,1000,03/01/2026 00:00:00
7760,1,1000,1000,03/01/2026 00:00:00
7761,0,1000,1000,03/01/2026 00:00:00
7762,0,1000,1000,03/01/2026 00:00:00
7763,0,1000,1000,03/01/2026 00:00:00
7764,80,1000,1000,03/01/2026 00:00:00
7765,1,1000,1000,03/01/2026 00:00:00
7766,24,1000,1000,03/01/2026 00:00:00
7767,1,1000,1000,03/01/2026 00:00:00
7769,1,1000,1000,03/01/2026 00:00:00
7770,0,1000,1000,03/01/2026 00:00:00
7771,0,1000,1000,03/01/2026 00:00:00
7772,1,1000,1000,03/01/2026 00:00:00
7777,0,1000,1000,03/01/2026 00:00:00
7778,0,1000,1000,03/01/2026 00:00:00
7779,0,1000,1000,03/01/2026 00:00:00
7780,0,1000,1000,03/01/2026 00:00:00
7781,0,1000,1000,03/01/2026 00:00:00
7782,0,1000,1000,03/01/2026 00:00:00
7783,0,1000,1000,03/01/2026 00:00:00
7784,0,1000,1000,03/01/2026 00:00:00
7785,0,1000,1000,03/01/2026 00:00:00
7786,0,1000,1000,03/01/2026 00:00:00
7795,0,1000,1000,03/01/2026 00:00:00
7802,0,1000,1000,03/01/2026 00:00:00
7803,0,1000,1000,03/01/2026 00:00:00
7804,0,1000,1000,03/01/2026 00:00:00
7805,0,1000,1000,03/01/2026 00:00:00
7806,0,1000,1000,03/01/2026 00:00:00
7807,0,1000,1000,03/01/2026 00:00:00
7808,0,1000,1000,03/01/2026 00:00:00
7809,0,1000,1000,03/01/2026 00:00:00
7810,0,1000,1000,03/01/2026 00:00:00
7811,0,1000,1000,03/01/2026 00:00:00
7812,0,1000,1000,03/01/2026 00:00:00
7815,0,1000,1000,03/01/2026 00:00:00
7816,0,1000,1000,03/01/2026 00:00:00
7818,0,1000,1000,03/01/2026 00:00:00
7819,0,1000,1000,03/01/2026 00:00:00
7820,0,1000,1000,03/01/2026 00:00:00
7821,0,1000,1000,03/01/2026 00:00:00
7822,0,1000,1000,03/01/2026 00:00:00
7898,-2412,1000,998,03/01/2026 00:00:00
7899,-1098,1000,999,03/01/2026 00:00:00
7900,-2340,1000,998,03/01/2026 00:00:00
7901,-2880,1000,997,03/01/2026 00:00:00
7902,-1278,1000,999,03/01/2026 00:00:00
7903,-2046,1000,998,03/01/2026 00:00:00
7904,-1404,1000,999,03/01/2026 00:00:00
7905,-3150,1000,997,03/01/2026 00:00:00
7906,0,500,500,03/01/2026 00:00:00
7911,0,1000,1000,03/01/2026 00:00:00
7912,0,1000,1000,03/01/2026 00:00:00
7913,0,1000,1000,03/01/2026 00:00:00
7920,0,1000,1000,03/01/2026 00:00:00
7921,6,1000,1000,03/01/2026 00:00:00
7922,1,1000,1000,03/01/2026 00:00:00
7923,0,1000,1000,03/01/2026 00:00:00
7924,0,1000,1000,03/01/2026 00:00:00
7925,0,1000,1000,03/01/2026 00:00:00
7928,75,500,500,03/01/2026 00:00:00
7929,18,1000,1000,03/01/2026 00:00:00
7930,149,250,251,03/01/2026 00:00:00
7936,-1500,1000,999,03/01/2026 00:00:00
7937,0,500,500,03/01/2026 00:00:00
#N/A,0,500,500,03/01/2026 00:00:00
7942,0,500,500,03/01/2026 00:00:00
7943,1185,1000,1001,03/01/2026 00:00:00
7944,0,500,500,03/01/2026 00:00:00
7946,0,500,500,03/01/2026 00:00:00
7947,0,500,500,03/01/2026 00:00:00
7952,0,500,500,03/01/2026 00:00:00
7953,0,500,500,03/01/2026 00:00:00
7954,0,1000,1000,03/01/2026 00:00:00
7955,0,500,500,03/01/2026 00:00:00
7957,0,1000,1000,03/01/2026 00:00:00
7958,0,1000,1000,03/01/2026 00:00:00
7959,0,500,500,03/01/2026 00:00:00
7960,0,500,500,03/01/2026 00:00:00
7961,0,1000,1000,03/01/2026 00:00:00
7962,0,1000,1000,03/01/2026 00:00:00
7963,0,500,500,03/01/2026 00:00:00
7964,0,1000,1000,03/01/2026 00:00:00
7966,0,500,500,03/01/2026 00:00:00
7967,0,1000,1000,03/01/2026 00:00:00
7968,0,500,500,03/01/2026 00:00:00
7969,0,1000,1000,03/01/2026 00:00:00
7970,0,1000,1000,03/01/2026 00:00:00
7971,0,500,500,03/01/2026 00:00:00
7972,0,500,500,03/01/2026 00:00:00
7973,0,500,500,03/01/2026 00:00:00
7974,240,1000,1000,03/01/2026 00:00:00
7975,0,1000,1000,03/01/2026 00:00:00
7976,47,500,500,03/01/2026 00:00:00
7977,10,250,250,03/01/2026 00:00:00
7979,20,500,500,03/01/2026 00:00:00
7980,0,500,500,03/01/2026 00:00:00
7981,0,500,500,03/01/2026 00:00:00
7982,5132,250,271,03/01/2026 00:00:00
7983,1281,1000,1001,03/01/2026 00:00:00
7984,1618,1000,1002,03/01/2026 00:00:00
7985,3138,1000,1003,03/01/2026 00:00:00
7986,1317,500,503,03/01/2026 00:00:00
7987,1164,1000,1001,03/01/2026 00:00:00
